'a'ba'ke 阿巴克
'a'ba'ni'si 阿巴尼斯
'a'ba'tu'yi 阿巴图伊
'a'bang'di 阿邦迪
'a'bei'duo 阿贝多
'a'bei'liang'jiu 阿倍良久
'a'ben 阿笨
'a'bi 阿比
'a'bo 阿波
'a'bu 阿卜
'a'bu 阿部
'a'bu'ding 阿布丁
'a'bu'la'ke 阿布拉克
'a'bu'pa'long 阿布帕隆
'a'chou 阿丑
'a'chuang 阿创
'a'da'ma 阿达玛
'a'dai'er 阿黛尔
'a'de'fei 阿德菲
'a'de'lu'la'ya 阿徳禄拉雅
'a'de'na 阿德纳
'a'di'er 阿迪尔
'a'di'ke 阿蒂克
'a'dong 阿咚
'a'duo'ni'si 阿多尼斯
'a'er'bang 阿尔邦
'a'er'bei 阿尔贝
'a'er'da 阿尔妲
'a'er'fu'lei'de 阿尔弗雷德
'a'er'mang 阿尔芒
'a'er'ming 阿尔明
'a'er'ni'mu 阿尔尼姆
'a'er'pa 阿尔帕
'a'er'wa 阿尔瓦
'a'er'wo 阿尔沃
'a'er'xi'pu 阿尔希普
'a'fa'na'xi 阿法纳西
'a'fan 阿凡
'a'fei 阿飞
'a'fen'di 阿芬迪
'a'fu 阿釜
'a'fu'la'tu'zhi'huo 阿弗拉图之惑
'a'fu'song 阿芙颂
'a'fu'ta 阿夫塔
'a'fu'xin 阿夫辛
'a'ge'mo 阿格莫
'a'gua'la 阿瓜拉
'a'gui 阿桂
'a'ha 啊哈
'a'han'ge'er 阿汉格尔
'a'hao 阿昊
'a'huang 阿晃
'a'huo'yi'tu 阿霍伊图
'a'ji'yue 阿基约
'a'jia'ke'si 阿贾克斯
'a'jia'ya 阿伽娅
'a'jia'ya 阿加娅
'a'jin 阿金
'a'jin 阿锦
'a'jing 阿敬
'a'jiu 阿鸠
'a'ka'ma 阿卡马
'a'ka'tan'jia 阿卡坦加
'a'ka'te 阿卡特
'a'ka'xi'zhi'sheng 阿卡西之声
'a'kai'di 阿凯蒂
'a'kai'ma'yi 阿凯马伊
'a'kan'di 阿坎蒂
'a'ke'la'mu 阿克拉姆
'a'ke'mi'di 阿科米蒂
'a'kong 阿孔
'a'kou 阿扣
'a'ku'wu'bo'di'er'zhi'ling 阿库乌波蒂尔之灵
'a'kuan 阿宽
'a'la'bi 阿拉比
'a'la'fu 阿拉夫
'a'la'kai 阿拉凯
'a'la'mi 阿拉米
'a'la'ye'shen 阿拉耶什
'a'lai'fu 阿莱夫
'a'lan 阿兰
'a'lei 阿雷
'a'lei'da 阿蕾妲
'a'lei'mei 阿蕾梅
'a'lei'qi'nuo 阿蕾奇诺
'a'li'da 阿莉妲
'a'li'na 阿里娜
'a'lian'zuo 阿莲佐
'a'lin 阿林
'a'liu 阿瑠
'a'long 阿隆
