'a'er'ka'na 阿尔卡那
'bai'jie'er'quan'neng 白傑爾權能
'bai'jie'er'quan'neng 白杰尔权能
'bao'zha'jian 爆炸箭
'bao'zha'quan'tao 爆炸圈套
'chong'ji'jie'chu 冲击解除
'chong'ji'jie'chu 衝击解除
'chong'ji'jie'chu 衝擊解除
'da'zi'ran'tu'xi 大自然吐息
'di'kang'jue'xin 抵抗决心
'di'kang'jue'xin 抵抗決心
'feng'yin'jian 封印箭
'feng'zhi'huo'li 風之活力
'feng'zhi'huo'li 风之活力
'ge'li'fen'jian 葛利芬箭
'hu'shen'fu 護身符
'hui'bi'qi'yao 迴避契約
'hui'bi'qi'yue 迴避契约
'ji'feng'jian 疾风箭
'ji'zhan'gu'wen'shi 激战古文石
'ji'zhong'pao'huo 集中砲火
'ji'zhong'zhi'yan 集中之眼
'jian'shi'bao'feng 箭矢暴風
'jian'shi'bao'feng 箭矢暴风
'jian'shi'sao'she 箭矢扫射
'jian'shi'sao'she 箭矢掃射
'jiang'xi'jiang'ji 強襲強擊
'jie'fu'quan'tao 結縛圈套
'jie'fu'quan'tao 结缚圈套
'jin'ju'li'she'ji 近距离射击
'jin'ju'li'she'ji 近距離射擊
'jing'jie'zhi'yan 警戒之眼
'ju'ji 狙击
'ju'ji 狙擊
'kuang'feng'jian 狂風箭
'kuang'feng'jian 狂风箭
'li'zhui'jian 利錐箭
'li'zhui'jian 利锥箭
'lian'she 连射
'lian'she 連射
'lie'ren'jue'xin 猎人决心
'lie'ren'jue'xin 獵人決心
'lie'ren'zhi'hun 猎人之魂
'lie'ren'zhi'hun 獵人之魂
'luo'xuan'jian 螺旋箭
'miao'zhun'jian 瞄准箭
'miao'zhun'jian 瞄準箭
'mu'biao'jian 目标箭
'mu'biao'jian 目標箭
'po'lie'jian 破裂箭
'qiang'xi'qiang'ji 强袭强击
'shan'dian'jian 閃電箭
'shan'dian'jian 闪电箭
'shu'fu'zhi'yan 束縛之眼
'shu'fu'zhi'yan 束缚之眼
'shui'mian'jian 睡眠箭
'su'she 速射
'tao'suo'jian 套索箭
'tu'xi'ti 突袭踢
'tu'xi'ti 突襲踢
'ya'zhi'jian 压制箭
'ya'zhi'jian 壓制箭
'yin'shen 隐身
'yin'shen 隱身
'zhu'fu'zhi'gong 祝福之弓
