'ai'ren'kuang'dong 矮人矿洞
'ban'ben'can'shu 版本参数
'ban'gong'shi 办公室
'bao'he'du'gao 饱和度高
'bao'wu'shan'yao 宝物闪耀
'bei'bao'ke 背包客
'bei'jing'ceng'ci 背景层次
'bei'jing'xu'hua 背景虚化
'ben'pao 奔跑
'bi'ye'dian'li 毕业典礼
'bian'ping'she'ji 扁平设计
'bian'yi'du 变异度
'biao'qing'feng'fu 表情丰富
'bing'shuang'han'leng 冰霜寒冷
'bo'li'tou'ming 玻璃透明
'bo'pu'yi'shu 波普艺术
'bu'liao'rou'ruan 布料柔软
'cai'hong'xuan'li 彩虹绚丽
'cai'zhi'qiu 材质球
'chan'pin'zhan'shi 产品展示
'chang'jiao'ya'suo 长焦压缩
'chang'kuan'bi 长宽比
'chang'qun'you'ya 长裙优雅
'chao'ji'ying'xiong 超级英雄
'chao'qing'tu'pian 超清图片
'chao'xian'shi'zhu'yi 超现实主义
'cheng'shi'ye'jing 城市夜景
'chou'xiang'yi'shu 抽象艺术
'chuan'zhi'hang'xing 船只航行
'chun'jie'xi'qing 春节喜庆
'cong'lin'sheng'cun 丛林生存
'da'shi'ji'zuo'pin 大师级作品
'dan'ru'dan'chu 淡入淡出
'dan'se'diao 单色调
'di'bao'he 低饱和
'di'jiao'du 低角度
'di'ju'feng'ge 低聚风格
'di'xia'cheng 地下城
'dian'shang'hai'bao 电商海报
'dian'ying'feng'ge 电影风格
'dong'fang'feng'qing 东方风情
'dong'hua'ding'ge 动画定格
'dong'man'feng'ge 动漫风格
'dong'tai'mo'hu 动态模糊
'dong'wu'meng'chong 动物萌宠
'dong'zuo'dong'tai 动作动态
'du'jiao'shou 独角兽
'du'shi'sheng'huo 都市生活
'dui'bi'du'qiang 对比度强
'dui'chen'gou'tu 对称构图
'e'mo'hei'an 恶魔黑暗
'er'ci'yuan 二次元
'er'tong'ke'ai 儿童可爱
'er'zhan'shi'qi 二战时期
'fan'wu'tuo'bang 反乌托邦
'fei'ji'ao'xiang 飞机翱翔
'fei'xing 飞行
'fen'wei'zhao'ming 氛围照明
'feng'ge 风格
'feng'ge'hua 风格化
'feng'jing'tu 风景图
'feng'juan'can'yun 风卷残云
'feng'ye'qiu'se 枫叶秋色
'fu'gu'feng 复古风
'fu'gu'lv'jing 复古滤镜
'fu'kong'jian 负空间
'fu'mian'ti'shi 负面提示
'fu'pai 俯拍
'gao'bao'he 高饱和
'gao'jiao'du 高角度
'gao'qing'sheng'cheng 高清生成
'gao'xi'jie 高细节
'gao'zhi'liang 高质量
'gong'ye'ge'ming 工业革命
'gou'gou 狗狗
'gou'tu'wan'mei 构图完美
'gu'ai'ji 古埃及
'gu'dai'jian'zhu 古代建筑
'gu'dai'zhong'guo 古代中国
'gu'xi'la 古希腊
'guai'wu'kong'bu 怪物恐怖
'guan'qia'chang'jing 关卡场景
'guang'jiao'jing'tou 广角镜头
'guang'xiao'guo 光效果
'guang'ying'xiao'guo 光影效果
'gui'ze'san'fen 规则三分
'hai'tan'du'jia 海滩度假
'hai'yang'bo'tao 海洋波涛
'hang'pai'shi'jiao 航拍视角
'he'lan'qing'jiao 荷兰倾角
'he'ping'ning'jing 和平宁静
'hei'bai'she'ying 黑白摄影
'hong'wai'xian 红外线
'hu'bu'se 互补色
'huan'rao'pai'she 环绕拍摄
'huan'xiang'sheng'wu 幻想生物
'huang'jin'bi'li 黄金比例
'huang'jin'luo'xuan 黄金螺旋
'hui'hua 绘画
'hun'li'lang'man 婚礼浪漫
'hun'sha'lang'man 婚纱浪漫
'huo'yan'ran'shao 火焰燃烧
'ji'guang'qi'huan 极光奇幻
'ji'lu'pian'feng 纪录片风
'ji'qi'ren 机器人
'ji'rou'jian'mei 肌肉健美
'ji'xie'yi'zhi 机械义肢
'jia'ju'bu'zhi 家具布置
'jia'ting'he'zhao 家庭合照
'jiao'pian 胶片
'jiao'pian'ke'li 胶片颗粒
'jie'ri'qing'dian 节日庆典
'jie'tou'tu'ya 街头涂鸦
'jie'zuo 杰作
'jin'shu'guang'ze 金属光泽
'jing'ling'sen'lin 精灵森林
'jing'shen 景深
'jing'shen'qian 景深浅
'jing'tou'ji'bian 镜头畸变
'jing'tou'yu'yan 镜头语言
'jing'xi'wen'li 精细纹理
'ju'ren'cheng'bao 巨人城堡
'jue'se'she'ji 角色设计
'ka'fei'guan 咖啡馆
'ka'tong'feng'ge 卡通风格
'ke'huan'chang'jing 科幻场景
'ke'ji'shi'yan'shi 科技实验室
'kuai'su'jian'ji 快速剪辑
'kuang'jia'gou'tu 框架构图
'kui'jia'zhan'shi 盔甲战士
'lao'ren'xiao'xiang 老人肖像
'lei'dian'shan'shuo 雷电闪烁
'lei'si'se 类似色
'leng'nuan'dui'bi 冷暖对比
