'a'er'fa'nan'tuan 阿尔法男团
'a'man'duo'li'de 阿曼多里德
'an'de'lie'jia'er'wa'ao 安德烈加尔瓦奥
'an'ka'jiao 安卡绞
'an'mo'qiu 按摩球
'ao'er'duo'lei'bei'luo 奥尔多雷贝洛
'ao'si'wa'er'duo'fa'da 奥斯瓦尔多法达
'ba'xi'jin'biao'sai 巴西锦标赛
'ba'xi'rou'shu 巴西柔术
'bai'dai 白带
'ban'fang'shou 半防守
'ban'fang'shou'sao 半防守扫
'ban'feng'bi'kong'zhi 半封闭控制
'ban'jue'sai 半决赛
'bang'qiu'jiao 棒球绞
'bao'luo'mao'li'xi'ao'si'te'lao'he 保罗毛里西奥斯特劳赫
'bei'bu'qi'cheng 背部骑乘
'bei'dong'fang'shou 被动防守
'bei'dong'tao'tuo 被动逃脱
'bei'hou'jiao 背后绞
'bei'hou'kong'zhi 背后控制
'bei'hou'kong'zhi'tao'tuo 背后控制逃脱
'bei'mian'fang'shou 背面防守
'bei'mian'tao'tuo 背面逃脱
'beng'dai 绷带
'bi'sai'dian 比赛垫
'bian'ti 变体
'biao'yan'sai 表演赛
'bing'dai 冰袋
'cai'pan 裁判
'cai'pan'fu 裁判服
'ce'guo'tui 侧过腿
'ce'jiao 侧绞
'ce'kong'zhi 侧控制
'ce'kong'zhi'mu'cun'suo 侧控制木村锁
'ce'kong'zhi'shi'zi'gu 侧控制十字固
'ce'kong'zhi'tao'tuo 侧控制逃脱
'ce'lue 策略
'ce'mian'ya'zhi 侧面压制
'ce'xiang'fang'shou 侧向防守
'ce'xiang'guan'jie'suo 侧向关节锁
'ce'xiang'guo'tui 侧向过腿
'ce'xiang'sao 侧向扫
'ce'xiang'tao'tuo 侧向逃脱
'chan'dou 缠斗
'chao'ji'lian'sai 超级联赛
'chi'xu'guan'jie'suo 持续关节锁
'chi'xu'guo'tui 持续过腿
'chi'xu'jiao 持续绞
'chi'xu'jin'gong 持续进攻
'chi'xu'sao 持续扫
'chi'xu'tao'tuo 持续逃脱
'da'jiang'sai 大奖赛
'da'si'jiao 达斯绞
'da'wa'er'lu'xi'ya'nuo'lei'ge 达瓦尔卢西亚诺雷戈
'dan'bi'kong'zhi 单臂控制
'dan'ha'di 丹哈迪
'dan'shou'jiao 单手绞
'dan'shou'sao 单手扫
'dan'tui'fang'shou 单腿防守
'dan'tui'guo'tui 单腿过腿
'dao'fu 道服
'dao'fu'bao 道服包
'dao'fu'guan'jie'suo 道服关节锁
'dao'fu'guo'tui 道服过腿
'dao'fu'rou'shu 道服柔术
'dao'fu'sao 道服扫
'dao'fu'tao'tuo 道服逃脱
'dao'fu'zhan'shu 道服战术
'de'la'li'wa'fang'shou 德拉里瓦防守
'de'la'li'wa'sao 德拉里瓦扫
'di'mian'guan'jie'suo 地面关节锁
'di'mian'guo'tui 地面过腿
'di'mian'jiao 地面绞
'di'mian'sao 地面扫
'di'mian'tao'tuo 地面逃脱
'di'wei'fang'shou 低位防守
'di'wei'tao'tuo 低位逃脱
'dong'tai'fang'shou 动态防守
'dong'tai'tao'tuo 动态逃脱
'duan'tou'tai 断头台
'duan'tou'tai'tao'tuo 断头台逃脱
'dui'die'guo'tui 堆叠过腿
'fan'gun 翻滚
'fan'gun'tao'tuo 翻滚逃脱
