'bian'ya'qi 变压器
'can'ting 餐厅
'ce'ban'tong'men'ban'yan'se 侧板同门板颜色
'ce'shi'tu 侧视图
'chou'ti 抽屉
'chu'gui 橱柜
'chu'mo'kai'guan 触摸开关
'ci'gui'ti'yan'se 此柜体颜色
'ci'wo 次卧
'ci'wo'ta'ta'mi 次卧榻榻米
'ci'wo'yi'gui 次卧衣柜
'ci'wo'yi'gui'shu'zhuo 次卧衣柜书桌
'da'xin'ban 大芯板
'deng'dai 灯带
'duo'ceng'ban 多层板
'er'tong'fang 儿童房
'er'tong'fang'ta'ta'mi 儿童房榻榻米
'er'tong'fang'yi'gui 儿童房衣柜
'er'tong'fang'yi'gui'shu'zhuo 儿童房衣柜书桌
'fan'tan'gui 反弹轨
'fan'tan'qi 反弹器
'fu'shi'tu 俯视图
'ge'shan'bei'ban 格栅背板
'gua'gou 挂钩
'gui'men'se 柜门色
'gui'ti'se 柜体色
'hei'kuang'hui'bo 黑框灰玻
'jian'guang'ban 见光板
'jian'guang'ban'yan'se'tong'men'ban 见光板颜色同门板
'jie'gou'tu 结构图
'jin'kuang'hui'bo 金框灰玻
'ke'li'ban 颗粒板
'ke'ting 客厅
'la'zhi'qi 拉直器
'men'ban 门板
'men'ban'tu 门板图
'men'jiao 门铰
'mian'shi'tu 面视图
'ning'xin'ban 柠心板
'ou'song'ban 欧松板
'ren'ti'gan'ying'kai'guan 人体感应开关
'ru'hu'xie'gui 入户鞋柜
'san'jie'gui 三节轨
'shang'gui'fu'shi'tu 上柜俯视图
'shang'xie'qie 上斜切
'shou'kou'tong'men'ban'se 收口同门板色
'tong'men'ban'se 同门板色
'tuo'di'gui 托底轨
'xia'gui'fu'shi'tu 下柜俯视图
'xia'kou 下扣
'xia'xie'qie 下斜切
'xiang'mu'ban 橡木板
'xiao'fang'jian 小房间
'xiao'fang'jian'ta'ta'mi 小房间榻榻米
'xiao'fang'jian'yi'gui 小房间衣柜
'xiao'fang'jian'yi'gui'shu'zhuo 小房间衣柜书桌
'xuan'guan 玄关
'yang'tai'gui 阳台柜
'yi'tong 衣通
'yuan'zhu 圆柱
'yuan'zhu'jian'guang'ban'yan'se'tong'men'ban 圆柱见光板颜色同门板
'zao'xing'ban 造型板
'zhang'bei'fang 长辈房
'zhang'bei'fang'ta'ta'mi 长辈房榻榻米
'zhang'bei'fang'yi'gui 长辈房衣柜
'zhang'bei'fang'yi'gui'shu'zhuo 长辈房衣柜书桌
'zhu'wo 主卧
'zhu'wo'shu'zhuo 主卧书桌
'zhu'wo'yi'gui 主卧衣柜
'zuo'you'shou'kou'tong'men'ban'yan'se 左右收口同门板颜色
