'ban'wu'chan'jie'ji 半无产阶级
'ban'zhi'min'di 半殖民地
'bu'da'la'gong 布达拉宫
'bu'da'la'gong'guang'chang 布达拉宫广场
'cang'hai'sang'tian 沧海桑田
'cang'ku 仓库
'chang'dao'quan'qiu'nan'fang'tuan'jie'he'zuo 倡导全球南方团结合作
'chong'zhuang'he'cheng'lv 重装合成旅
'dao'ru'wen'jian 导入文件
'di'guo'zhu'yi 帝国主义
'di'san'fang'cha'jian 第三方插件
'di'zhu'jie'ji 地主阶级
'dui'wai'chuan'bo'zhong'xin 对外传播中心
'ge'ming'xing'shi 革命形势
'guan'wang 官网
'guang'dong'guang'bo'dian'shi'tai 广东广播电视台
'guang'dong'sheng 广东省
'guang'dong'ti'yu 广东体育
'guang'dong'wang'luo'guang'bo'dian'shi'tai 广东网络广播电视台
'guang'dong'wei'shi 广东卫视
'guang'dong'zhu'jiang 广东珠江
'he'hui'rong 何橞瑢
'he'nan'sheng 河南省
'he'xin'cha'jian 核心插件
'hu'nan'sheng 湖南省
'hu'nan'shi'fan'da'xue 湖南师范大学
'huai'yang'qu 淮阳区
'huang'pu'qu 黄埔区
'ji'wei'ban 技委办
'jian'qiang'ling'dao 坚强领导
'jin'bi'shi'ji'hua'yuan 金碧世纪花园
'liang'shui'zhi 两税制
'mai'ban'jie'ji 买办阶级
'min'zu'qu'yu'zi'zhi'zhi'du 民族区域自治制度
'ning'xin'zhu'hun 凝心铸魂
'pei'zhi'xin'xi 配置信息
'qi'dong'xian 祁东县
'quan'mian'jian'cheng'xiao'kang'she'hui 全面建成小康社会
'quan'mian'jian'she'she'hui'zhu'yi'xian'dai'hua'guo'jia 全面建设社会主义现代化国家
'ri'ka'ze 日喀则
'she'hui'zhu'yi'xian'dai'hua'xin'xi'zang 社会主义现代化新西藏
'shi'jie'wu'ji 世界屋脊
'wang'luo'tai 网络台
'wu'chan'jie'ji 无产阶级
'wu'han 武汉
'wu'qi'qi 武契奇
'wu'zi'bie'ke'si'tan 乌兹别克斯坦
'xi'nan'bian'chui 西南边陲
'xi'zang'zi'zhi'qu'cheng'li'zhou'nian'qing'zhu'da'hui 西藏自治区成立周年庆祝大会
'xiao'zi'chan'jie'ji 小资产阶级
'xin'shi'dai'dang'de'zhi'cang'fang'lue 新时代党的治藏方略
'xin'shi'dai'zhong'guo'te'se'she'hui'zhu'yi'si'xiang 新时代中国特色社会主义思想
'xing'bian'fu'min 兴边富民
'xue'yu'er'nv 雪域儿女
'ya'xia'shui'dian'gong'cheng 雅下水电工程
'yi'fa'zhan'cu'jin'ren'quan 以发展促进人权
'yi'tiao'bian'fa 一条鞭法
'ying'yong'bao 应用宝
'yuan'wen'jian 源文件
'zang'chuan'fo'jiao 藏传佛教
'zeng'jin'ren'min'fu'zhi 增进人民福祉
'zheng'ze'biao'da'shi 正则表达式
'zhi'cang'fang'lue 治藏方略
'zhi'feng'mu'yu 栉风沐雨
'zhong'chan'jie'ji 中产阶级
'zhong'hua'min'zu'gong'tong'ti 中华民族共同体
'zhong'hua'min'zu'gong'tong'ti'yi'shi 中华民族共同体意识
'zhong'nan'cai'jing'zheng'fa'da'xue 中南财经政法大学
'zhong'shan'da'dao 中山大道
'zhou'kou'shi 周口市
'zi'fu'qu'jian 字符区间
