'an'shan'yan 安山岩
'an'shan'yan'lou'ti 安山岩楼梯
'an'shan'yan'qiang 安山岩墙
'an'shan'yan'tai'jie 安山岩台阶
'du'juan'hua'cong 杜鹃花丛
'du'juan'shu'ye 杜鹃树叶
'ji'huo'tie'gui 激活铁轨
'jie'guo'de'nan'gua'jing 结果的南瓜茎
'jie'guo'de'xi'gua'jing 结果的西瓜茎
'jin'he'huan'mu 金合欢木
'jin'he'huan'mu'an'niu 金合欢木按钮
'jin'he'huan'mu'ban 金合欢木板
'jin'he'huan'mu'gao'shi'pai 金合欢木告示牌
'jin'he'huan'mu'huo'ban'men 金合欢木活板门
'jin'he'huan'mu'lou'ti 金合欢木楼梯
'jin'he'huan'mu'men 金合欢木门
'jin'he'huan'mu'tai'jie 金合欢木台阶
'jin'he'huan'mu'ya'li'ban 金合欢木压力板
'jin'he'huan'mu'zha'lan 金合欢木栅栏
'jin'he'huan'mu'zha'lan'men 金合欢木栅栏门
'jin'he'huan'mu'zhan'shi'jia 金合欢木展示架
'jin'he'huan'shu'miao 金合欢树苗
'jin'he'huan'shu'ye 金合欢树叶
'jin'he'huan'yuan'mu 金合欢原木
'kong'qi 空气
'lan'hua'mei'er'cao 蓝花美耳草
'qiang'shang'de'jin'he'huan'mu'gao'shi'pai 墙上的金合欢木告示牌
'rong'qiu'cong 绒球葱
'tie'zhen 铁砧
'xuan'gua'shi'jin'he'huan'mu'gao'shi'pai 悬挂式金合欢木告示牌
'xuan'gua'shi'zhu'gao'shi'pai 悬挂式竹告示牌
'yuan'gu'can'hai 远古残骸
'zhu'an'niu 竹按钮
'zhu'ban 竹板
'zhu'gao'shi'pai 竹告示牌
'zhu'lou'ti 竹楼梯
'zhu'ma'sai'ke 竹马赛克
'zhu'ma'sai'ke'lou'ti 竹马赛克楼梯
'zhu'ma'sai'ke'tai'jie 竹马赛克台阶
'zhu'men 竹门
'zhu'sun 竹笋
'zhu'tai'jie 竹台阶
'zhu'ya'li'ban 竹压力板
'zhu'zha'lan 竹栅栏
'zhu'zha'lan'men 竹栅栏门
'zhu'zhan'shi'jia 竹展示架
'zhu'zi 竹子
'zi'jing'ya 紫晶芽
'zi'shui'jing'cu 紫水晶簇
