'a'ka'xi 阿卡西
'a'luo'han 阿羅漢
'ai'ren'zhang 哀人章
'an'cui 暗催
'an'cui'zhuang'zhi 暗催装置
'an'di'guo 暗帝国
'an'li'can'kao 案例参考
'an'li'fen'xi 案例分析
'an'quan'wu 安全屋
'an'shu'xing 暗属性
'an'zhu'dang'xia 安住当下
'ba'ling 八灵
'ba'qiang 八强
'bai'fang 白方
'bai'fang'wan'jia 白方玩家
'bai'fang'xing'meng 白方星盟
'bai'guang 白光
'bai'guang'sui'dao 白光隧道
'bai'hou'xiao'ying 百猴效应
'bai'hou'xiao'ying'ji'ti'jue'xing'qun 百猴效应集体觉醒群
'bai'hui 百会
'bai'ri'zhu'ji 百日筑基
'bai'zhan'ji 敗戰計
'bai'zhi'zhuang'tai 白纸状态
'ban'chu'shen 半出神
'ban'jie 半界
'ban'yue'di'jin'xing'mo'kuai'jie'gou'de'jian'li 半月递进型模块结构的建立
'bao'hu'ji'zhi 保护机制
'bao'hu'yu 保护欲
'bao'hu'zhao 保护罩
'bao'mi'yi'shi 保密意识
'bao'ping'qi 宝瓶气
'bei'cui 被催
'bei'dong'lun'hui 被动轮回
'bei'hai'long'wang 北海龙王
'bei'hu'shi'de'bu'fen 被忽视的部分
'bei'jing'diao'cha 背景调查
'bei'tiao 背调
'ben'wo'zhen'yuan 本我真源
'ben'yuan 本源
'ben'yuan'jie 本源界
'ben'yuan'zhi'dao 本源之道
'ben'yuan'zhi'guang 本源之光
'bi'gu 辟谷
'bi'jian 鼻尖
'bi'liang'wei'duan 鼻梁尾端
'bi'mu'yang'shen'fa 闭目养神法
'bi'yan'po'huan 闭眼破幻
'bian'gu'shi'xing 编故事型
'bian'shi'li 辨识力
'bian'shi'neng'li 辨识能力
'bian'shi'zhi'hui 辨识智慧
'biao'ceng'ci'yuan 表层次元
'biao'ceng'yi'shi 表层意识
'biao'qian'he'yi 表潜合一
'biao'qian'ji'yi 表潜记忆
'biao'qian'yi'ti 表潜一体
'biao'yi'shi 表意识
'bing'du'ling 病毒灵
'bing'zao 病灶
'bing'zhan'ji 並戰計
'bing'zhe'zhang 兵者章
'bo'xing'niu'zhuan'gai'lv'de'wen'ding'xing 波形扭转概率的稳定性
'bu'dang'zhen 不当真
'bu'dang'zhen'po'yi'qie'huan 不当真破一切幻
'bu'shen 补身
'bu'shen'lou'fa 补身漏法
'bu'shou'bu'tan'fen 不受不貪分
'cai'hong'fang'guang'dan 彩虹放光蛋
'cai'hong'liu'guang'dan 彩虹流光蛋
'cai'hong'liu'guang'ti 彩虹流光体
'ce'shi'fa 测试法
'ceng'ci'jian'de'jiao'rong'du 层次间的交融度
'chan'ding 禅定
'chang'an'zhang 常安章
'chang'gui'shi'jian'fan'ying'mo'shi 常规事件反应模式
'chang'yu 场域
'chen'ji 沉寂
'chen'ji'xiao'wo 沉寂小我
'chen'jin'xiao'wo 沉浸小我
'chen'mi'ba'chu'neng'li 沉迷拔出能力
'cheng'jie'fen 乘界分
'cheng'jiu'fa 成就法
'cheng'xu'she'ding 程序设定
'cheng'xu'yi'shi 程序意识
'chi'gu'wei'zhi 耻骨位置
'chi'jing'gong'de'fen 持經功德分
'chong'jie'zhuang'duo'ceng'ci'jiao'ti'xing'hu'dong'lei'xing 虫节状多层次交替型互动类型
'chong'lou 重楼
'chong'mai 冲脉
'chu'chan 初禅
'chu'fa'ji'zhi 触发机制
'chu'fa'xiao'lv'xian'zhi'yu'zhi 触发效率限制阈值
'chu'fa'xing'mo'kuai'ji'zhi 触发性模块机制
'chu'ji'ban 初级班
'chu'shen 出神
'chu'shen'fa 出神法
'chu'shen'jing'yan 出神经验
'chu'shi'cheng'xu 初始程序
'chu'shi'fa 出世法
'chu'shi'zhi'dao 出世之道
'chuan'song'zhong'bei'wai'li'cuan'gai'de'bi'li 传送中被外力篡改的比例
'chuan'tong'guan'nian'de'ying'xiang 传统观念的影响
'chuan'tong'jue'xing 传统觉醒
'chuan'tong'jue'xing'fa 传统觉醒法
'chuan'tong'xiu'fa 传统修法
'chuan'tong'xiu'xing'fa 传统修行法
'chuang'xin'xing'fan'ying'mo'shi 创新型反应模式
'chui'zhi'xing'lian'jie'mo'kuai'jie'gou'de'jian'li 垂直形连接模块结构的建立
'chun'bai'zhi 纯白纸
'chun'jie'shou 纯接收
'chun'ke'guan 纯客观
'chun'ling'hun 纯灵魂
'chun'pang'guan 纯旁观
'chun'pang'guan'zhe 纯旁观者
'chun'tong'dao 纯通道
'chun'yi'shi 纯意识
'chun'yi'shi'dian 纯意识点
'ci'wu'zhi'jie 次物质界
'ci'yuan 次元
'cui'hou'fu'pan 催后复盘
'cui'hou'gan 催后感
'cui'hui'cui'mian'xi'tong'yi'nian'fa'song'qun 摧毁催眠系统意念发送群
'cui'mian 催眠
'cui'mian'bo 催眠波
'cui'mian'bo'de'jue'cha 催眠波的觉察
'cui'mian'bo'de'ying'xiang 催眠波的影响
'cui'mian'ce'lue 催眠策略
'cui'mian'cheng'xu 催眠程序
'cui'mian'dian'bo 催眠电波
'cui'mian'fang'shi 催眠方式
'cui'mian'ji'di 催眠基地
'cui'mian'ji'di'mo'ni'ce'shi'fa 催眠基地模拟测试法
'cui'mian'ji'shu 催眠技术
'cui'mian'ji'zhi 催眠机制
